Type,,Cen Lat,Cen Lon,Point 1 Lat,Point 1 Lon,Point 2 Lat,Point 2 Lon,Point 3 Lat,Point 3 Lon,Point 4 Lat,Point 4 Lon,Point 5 Lat,Point 5 Lon,Point 6 Lat,Point 6 Lon,Point 7 Lat ,Point 7 Lon,Point 8 Lat ,Point 8 Lon,Point 9 Lat ,Point 9 Lon,Point 10 Lat ,Point 10 Lon,Point 11 Lat ,Point 11 Lon,Point 12 Lat ,Point 12 Lon,Point 13 Lat ,Point 13 Lon,Point 14 Lat ,Point 14 Lon,Point 15 Lat ,Point 15 Lon,Point 16 Lat ,Point 16 Lon,Point 17 Lat ,Point 17 Lon,Point 18 Lat ,Point 18 Lon,Point 19 Lat ,Point 19 Lon,Point 20 Lat ,Point 20 Lon,Point 21 Lat ,Point 21 Lon,Point 22 Lat ,Point 22 Lon,Point 23 Lat ,Point 23 Lon,Point 24 Lat ,Point 24 Lon,Point 25 Lat ,Point 25 Lon,Point 26 Lat ,Point 26 Lon,Point 27 Lat ,Point 27 Lon,Point 28 Lat ,Point 28 Lon,Point 29 Lat ,Point 29 Lon,Point 30 Lat ,Point 30 Lon,Point 31 Lat ,Point 31 Lon,Point 32 Lat ,Point 32 Lon,Point 33 Lat ,Point 33 Lon,Point 34 Lat ,Point 34 Lon,Point 35 Lat ,Point 35 Lon,Point 36 Lat ,Point 36 Lon
Building 19,,-35.235680,149.085577,-35.235615,149.085511,-35.235612,149.085552,-35.235597,149.085555,-35.235597,149.085597,-35.235611,149.085600,-35.235614,149.085629,-35.235747,149.085631,-35.235742,149.085519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 20,,-35.239554,149.083536,-35.239390,149.083285,-35.239303,149.083526,-35.239350,149.083554,-35.239345,149.083563,-35.239357,149.083575,-35.239324,149.083653,-35.239376,149.083661,-35.239403,149.083613,-35.239685,149.083614,-35.239685,149.083505,-35.239751,149.083502,-35.239748,149.083363,-35.239686,149.083286,-35.239565,149.083286,-35.239565,149.083466,-35.239461,149.083465,-35.239495,149.083382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 21,Cooinda Hut,-35.239464,149.078380,-35.239405,149.078184,-35.239412,149.078556,-35.239511,149.078563,-35.239511,149.078191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 2223,Innovation Centre,,,-35.24040329430302,149.0875380858779,-35.24040055597473,149.08800445497036,-35.24038905499491,149.08800546079877,-35.24038823349628,149.0880594402552,-35.24044546454702,149.08806212246418,-35.24044601221239,149.08809531480074,-35.2404019251389,149.08809565007687,-35.24040411580148,149.08828239887953,-35.240419450438054,149.08828373998404,-35.24041835510697,149.08837258815765,-35.24040137747322,149.08837392926216,-35.24040055597473,149.08865254372358,-35.24056047419192,149.08865422010422,-35.24056376017938,149.08827502280474,-35.240584845262404,149.08827334642413,-35.24058566675904,149.08828441053632,-35.24071354629965,149.0882857516408,-35.24071518929029,149.08819757401943,-35.240709164991095,149.08819925040007,-35.2407113556454,149.08809699118137,-35.240720392093785,149.08809799700973,-35.24072066592554,149.08810302615166,-35.240789123834844,149.08810302615166,-35.24079049299245,149.0880996733904,-35.240808839702005,149.08809900283813,-35.24080966119637,149.08800579607487,-35.2407885761718,149.08800680190325,-35.24078802850875,149.08781904727218,-35.240582106940245,149.08781737089157,-35.240580737779126,149.08783178776503,-35.24055883119814,149.08783044666052,-35.240561843353376,149.0875394269824,,,
Building 24,Ann Harding Conference Centre,-35.240620,149.086974,-35.240394,149.086810,-35.240393,149.086880,-35.240495,149.086903,-35.240496,149.086944,-35.240456,149.086951,-35.240468,149.087013,-35.240461,149.087050,-35.240450,149.087065,-35.240475,149.087180,-35.240762,149.087120,-35.240822,149.087120,-35.240822,149.087057,-35.240854,149.087064,-35.240854,149.087316,-35.240903,149.087319,-35.240975,149.087334,-35.241053,149.087332,-35.241052,149.086886,-35.240815,149.086887,-35.240810,149.086811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 25,INSPIRE Centre,-35.238149,149.082004,-35.238016,149.081935,-35.238078,149.082071,-35.237994,149.082116,-35.238056,149.082242,-35.238136,149.082189,-35.238187,149.082294,-35.238290,149.082223,-35.238290,149.082076,-35.238278,149.082087,-35.238275,149.081823,-35.238184,149.081823,-35.238177,149.081828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 26,Scrivener Building,-35.242384,149.093597,-35.242140,149.093276,-35.242138,149.093433,-35.242111,149.093417,-35.242114,149.093486,-35.242016,149.093481,-35.242020,149.093517,-35.242115,149.093520,-35.242115,149.093566,-35.242075,149.093565,-35.242074,149.093744,-35.242203,149.093745,-35.242204,149.093823,-35.242333,149.093825,-35.242342,149.093914,-35.242469,149.093904,-35.242470,149.093954,-35.242425,149.093951,-35.242425,149.093978,-35.242493,149.093981,-35.242494,149.093992,-35.242515,149.093992,-35.242516,149.09398,-35.242579,149.093981,-35.242579,149.093954,-35.242540,149.093954,-35.242541,149.093904,-35.242678,149.093903,-35.242677,149.093724,-35.242606,149.093716,-35.242607,149.093611,-35.242741,149.09361,-35.242741,149.093429,-35.242548,149.093427,-35.242547,149.093351,-35.242354,149.093348,-35.242354,149.093272
Building 27,,-35.236655,149.085126,-35.236365,149.085057,-35.236363,149.085304,-35.236673,149.085229,-35.236674,149.085209,-35.236904,149.085214,-35.236902,149.085023,-35.236761,149.085053,-35.236763,149.084914,-35.236695,149.084912,-35.236682,149.085052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 28,The Health Hub,-35.234720,149.087693,-35.234627,149.087341,-35.234624,149.088048,-35.234805,149.088048,-35.234805,149.087696,-35.234790,149.087695,-35.234790,149.087626,-35.234805,149.087626,-35.234802,149.087325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Building 29,Brumbies Rugby,-35.238373,149.088257,-35.238232,149.087961,-35.238232,149.088587,-35.238286,149.088586,-35.238288,149.088671,-35.238365,149.088673,-35.238366,149.088587,-35.238410,149.088587,-35.238411,149.088672,-35.238511,149.088672,-35.238511,149.088589,-35.238522,149.088586,-35.238518,149.087967,-35.238513,149.087961,-35.238513,149.087877,-35.238414,149.087878,-35.238413,149.087962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
